影片名,上映年份,国家,评分,评分人数
青蛇,1993,中国香港 中国大陆,8.6,489250
终结者2：审判日,1991,美国 法国,8.8,319816
波西米亚狂想曲,2018,英国 美国,8.6,560303
心灵奇旅,2020,美国,8.7,894546
奇迹男孩,2017,美国 中国香港,8.6,524379
疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,8.7,492061
新龙门客栈,1992,中国香港 中国大陆,8.7,413823
二十二,2015,中国大陆,8.7,278584
房间,2015,爱尔兰 加拿大 英国 美国,8.8,352529
无耻混蛋,2009,德国 美国,8.6,442802
千钧一发,1997,美国,8.8,269455
血钻,2006,美国 德国 英国,8.7,354616
彗星来的那一夜,2013,美国 英国,8.5,526053
崖上的波妞,2008,日本,8.6,451571
黑客帝国2：重装上阵,2003,美国,8.7,380762
魂断蓝桥,1940,美国,8.8,259852
步履不停,2008,日本,8.8,259847
战争之王,2005,法国 德国 美国,8.7,341488
爱乐之城,2016,美国,8.4,820016
谍影重重2,2004,美国 德国,8.7,330304
末路狂花,1991,美国 英国 法国,8.9,222479
燃情岁月,1994,美国,8.8,270438
火星救援,2015,英国 美国 匈牙利 约旦,8.5,670760
阿飞正传,1990,中国香港,8.5,474308
千年女优,2001,日本,8.8,239333
再次出发之纽约遇见你,2013,美国,8.6,402393
谍影重重,2002,美国 德国 捷克,8.6,397684
朗读者,2008,美国 德国,8.6,433643
海洋,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,9.1,151408
香水,2006,德国 法国 西班牙 美国 比利时,8.5,516676
穿越时空的少女,2006,日本,8.6,361269
地球上的星星,2007,印度,8.9,193013
花束般的恋爱,2021,日本,8.6,496583
我爱你,2011,韩国,9.0,155649
完美陌生人,2016,意大利,8.5,497823
弱点,2009,美国,8.7,273722
哈利·波特与死亡圣器(上),2010,英国 美国,8.5,514354
